f,f2,sample_ID,file_name,bird_ID,id
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 185_1382 2021-10-14 Snap-2449_inv.jpg,Ruff 185_1382 2021-10-14 Snap-2449_inv.jpg,185,Ruff 185_1382 2021-10-14 Snap-2449_inv.jpg,1382,083
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 133_1333 2021-07-13 Snap-1541_inv.jpg,Ruff 133_1333 2021-07-13 Snap-1541_inv.jpg,133,Ruff 133_1333 2021-07-13 Snap-1541_inv.jpg,1333,084
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 137_A059381830 2021-07-20 Snap-1659_inv.jpg,Ruff 137_A059381830 2021-07-20 Snap-1659_inv.jpg,137,Ruff 137_A059381830 2021-07-20 Snap-1659_inv.jpg,A059381830,085
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/6/Ruff 084_1375 2021-11-11 Snap-3354.jpg,Ruff 084_1375 2021-11-11 Snap-3354.jpg,084,Ruff 084_1375 2021-11-11 Snap-3354.jpg,1375,086
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 096_382 2021-06-10 Snap-1293_inv.jpg,Ruff 096_382 2021-06-10 Snap-1293_inv.jpg,096,Ruff 096_382 2021-06-10 Snap-1293_inv.jpg,382,087
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 211_1395 2021-10-27 Snap-3078_inv.jpg,Ruff 211_1395 2021-10-27 Snap-3078_inv.jpg,211,Ruff 211_1395 2021-10-27 Snap-3078_inv.jpg,1395,088
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/3/Ruff 155_A079561718 2021-07-20 Snap-1682_inv.jpg,Ruff 155_A079561718 2021-07-20 Snap-1682_inv.jpg,155,Ruff 155_A079561718 2021-07-20 Snap-1682_inv.jpg,A079561718,089
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/4/Ruff 173_1336 2021-10-13 Snap-2363_inv.jpg,Ruff 173_1336 2021-10-13 Snap-2363_inv.jpg,173,Ruff 173_1336 2021-10-13 Snap-2363_inv.jpg,1336,090
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 125_G14223 2021-06-17 Snap-1348_inv.jpg,Ruff 125_G14223 2021-06-17 Snap-1348_inv.jpg,125,Ruff 125_G14223 2021-06-17 Snap-1348_inv.jpg,G14223,091
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 225_1360 2021-10-14 Snap-2422_inv.jpg,Ruff 225_1360 2021-10-14 Snap-2422_inv.jpg,225,Ruff 225_1360 2021-10-14 Snap-2422_inv.jpg,1360,092
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/6/Ruff 084_1375 2021-11-11 Snap-3356.jpg,Ruff 084_1375 2021-11-11 Snap-3356.jpg,084,Ruff 084_1375 2021-11-11 Snap-3356.jpg,1375,093
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 211_1395 2021-10-27 Snap-3094_inv.jpg,Ruff 211_1395 2021-10-27 Snap-3094_inv.jpg,211,Ruff 211_1395 2021-10-27 Snap-3094_inv.jpg,1395,094
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 195_1383 2021-10-20 Snap-2677_inv.jpg,Ruff 195_1383 2021-10-20 Snap-2677_inv.jpg,195,Ruff 195_1383 2021-10-20 Snap-2677_inv.jpg,1383,095
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 082_1301 2021-10-28 Snap-3139_inv.jpg,Ruff 082_1301 2021-10-28 Snap-3139_inv.jpg,082,Ruff 082_1301 2021-10-28 Snap-3139_inv.jpg,1301,096
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/2/Ruff 070_1302 2021-06-04 Snap-1119_inv.jpg,Ruff 070_1302 2021-06-04 Snap-1119_inv.jpg,070,Ruff 070_1302 2021-06-04 Snap-1119_inv.jpg,1302,097
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/5/Ruff 210_1385 2021-10-26 Snap-3050_inv.jpg,Ruff 210_1385 2021-10-26 Snap-3050_inv.jpg,210,Ruff 210_1385 2021-10-26 Snap-3050_inv.jpg,1385,098
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/1/Ruff 019_704105 2021-05-20 Snap-0762_inv.jpg,Ruff 019_704105 2021-05-20 Snap-0762_inv.jpg,019,Ruff 019_704105 2021-05-20 Snap-0762_inv.jpg,704105,099
/ds/raw_data_kemp/LAB/Ruff_Sperm_Project/all_photos/6/Ruff 088_1316 2021-11-10 Snap-3310.jpg,Ruff 088_1316 2021-11-10 Snap-3310.jpg,088,Ruff 088_1316 2021-11-10 Snap-3310.jpg,1316,100
